Program,xPONENT,,FlexMAP 3D,,,,,,,,,,,,,
"76(1,D10)",ADNI-478,100,132,232,,,,,,,,,,,,
"77(1,E10)",ADNI-479,100,120,220,,,,,,,,,,,,
"78(1,F10)",ADNI-480,100,116,216,,,,,,,,,,,,
"79(1,G10)",ADNI-481,100,109,209,,,,,,,,,,,,
"80(1,H10)",ADNI-482,100,161,261,,,,,,,,,,,,
"81(1,A11)",BioS-09,100,150,250,,,,,,,,,,,,
"82(1,B11)",BioS-10,100,115,215,,,,,,,,,,,,
"83(1,C11)",BioS-11,100,126,226,,,,,,,,,,,,
"84(1,D11)",BioS-12,100,118,218,,,,,,,,,,,,
"85(1,E11)",BioS-13,100,115,215,,,,,,,,,,,,
"86(1,F11)",BioS-14,100,126,226,,,,,,,,,,,,
"87(1,G11)",BioS-15,100,122,222,,,,,,,,,,,,
"88(1,H11)",BioS-16,100,115,215,,,,,,,,,,,,
"89(1,A12)",BioS-09,100,116,216,,,,,,,,,,,,
"90(1,B12)",BioS-10,100,118,218,,,,,,,,,,,,
"91(1,C12)",BioS-11,100,126,226,,,,,,,,,,,,
"92(1,D12)",BioS-12,100,107,207,,,,,,,,,,,,
"93(1,E12)",BioS-13,100,118,218,,,,,,,,,,,,
"94(1,F12)",BioS-14,100,143,243,,,,,,,,,,,,
"95(1,G12)",BioS-15,100,114,214,,,,,,,,,,,,
"96(1,H12)",BioS-16,106,100,206,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Result,,,,,,,,,,,,,,,
Location,Sample,Anti-Kappa IgG,Analyte 45,Total Events,,,,,,,,,,,,
"1(1,A1)",Standard1,0.855894891,,223,,,,,,,,,,,,
"2(1,B1)",Standard2,0.42958189,,218,,,,,,,,,,,,
"3(1,C1)",Standard3,0.231499376,,230,,,,,,,,,,,,
"4(1,D1)",Standard4,0.108589849,,203,,,,,,,,,,,,
"5(1,E1)",Standard5,0.060532378,,201,,,,,,,,,,,,
"6(1,F1)",Standard6,0.032929752,,223,,,,,,,,,,,,
"7(1,G1)",Standard7,0.012125557,,234,,,,,,,,,,,,
"8(1,H1)",Standard8,< 0,,214,,,,,,,,,,,,
"9(1,A2)",Standard1,1.147839924,,226,,,,,,,,,,,,
"10(1,B2)",Standard2,0.641546048,,232,,,,,,,,,,,,
"11(1,C2)",Standard3,0.267884661,,207,,,,,,,,,,,,
"12(1,D2)",Standard4,0.1426857,,233,,,,,,,,,,,,
"13(1,E2)",Standard5,0.066387686,,207,,,,,,,,,,,,
"14(1,F2)",Standard6,0.029785928,,217,,,,,,,,,,,,
"15(1,G2)",Standard7,0.019583549,,204,,,,,,,,,,,,
"16(1,H2)",Standard8,0.000764608,,209,,,,,,,,,,,,
"17(1,A3)",ADNI-451,0.080733091,,209,,,,,,,,,,,,
"18(1,B3)",ADNI-452,0.052979153,,222,,,,,,,,,,,,
"19(1,C3)",ADNI-453,0.065645341,,220,,,,,,,,,,,,
"20(1,D3)",ADNI-454,0.062436492,,210,,,,,,,,,,,,
"21(1,E3)",ADNI-455,0.067192964,,207,,,,,,,,,,,,
"22(1,F3)",ADNI-456,0.062555289,,206,,,,,,,,,,,,
"23(1,G3)",ADNI-457,0.059588927,,209,,,,,,,,,,,,
"24(1,H3)",ADNI-458,0.05646117,,232,,,,,,,,,,,,
"25(1,A4)",ADNI-451,0.086336357,,207,,,,,,,,,,,,
"26(1,B4)",ADNI-452,0.050851277,,200,,,,,,,,,,,,
